round,pick_no,display_name,player_name,position,team
1,1,declancarroll,Ja'Marr Chase,WR,CIN
1,2,Ouriginal,Saquon Barkley,RB,PHI
1,3,Calcarro,Jahmyr Gibbs,RB,DET
1,4,garrettmowery,Christian McCaffrey,RB,SF
1,5,arturowong,Bijan Robinson,RB,ATL
1,6,ChexMixChester,Amon-Ra St. Brown,WR,DET
1,7,Vishiga,Justin Jefferson,WR,MIN
1,8,pattycan,CeeDee Lamb,WR,DAL
1,9,HurricaneEich,Derrick Henry,RB,BAL
1,10,NotKool,Malik Nabers,WR,NYG
1,11,Shnickel,Ashton Jeanty,RB,LV
1,12,kingcarrillo,Puka Nacua,WR,LAR
2,13,kingcarrillo,Nico Collins,WR,HOU
2,14,Shnickel,Brian Thomas,WR,JAX
2,15,NotKool,Josh Allen,QB,BUF
2,16,HurricaneEich,Josh Jacobs,RB,GB
2,17,pattycan,De'Von Achane,RB,MIA
2,18,Vishiga,Kyren Williams,RB,LAR
2,19,ChexMixChester,Drake London,WR,ATL
2,20,arturowong,Bucky Irving,RB,TB
2,21,garrettmowery,A.J. Brown,WR,PHI
2,22,Calcarro,Jonathan Taylor,RB,IND
2,23,Ouriginal,Brock Bowers,TE,LV
2,24,declancarroll,Chase Brown,RB,CIN
3,25,declancarroll,Mike Evans,WR,SF
3,26,Ouriginal,Ladd McConkey,WR,LAC
3,27,Calcarro,Terry McLaurin,WR,WAS
3,28,garrettmowery,Garrett Wilson,WR,NYJ
3,29,arturowong,Jaxon Smith-Njigba,WR,SEA
3,30,ChexMixChester,James Cook,RB,BUF
3,31,Vishiga,Trey McBride,TE,ARI
3,32,pattycan,Lamar Jackson,QB,BAL
3,33,HurricaneEich,Jalen Hurts,QB,PHI
3,34,NotKool,Tyreek Hill,WR,
3,35,Shnickel,Jayden Daniels,QB,WAS
3,36,kingcarrillo,Alvin Kamara,RB,NO
4,37,kingcarrillo,Omarion Hampton,RB,LAC
4,38,Shnickel,Tee Higgins,WR,CIN
4,39,NotKool,Chuba Hubbard,RB,CAR
4,40,HurricaneEich,Davante Adams,WR,LAR
4,41,pattycan,Breece Hall,RB,NYJ
4,42,Vishiga,Joe Burrow,QB,CIN
4,43,ChexMixChester,TreVeyon Henderson,RB,NE
4,44,arturowong,DJ Moore,WR,BUF
4,45,garrettmowery,Kenneth Walker,RB,KC
4,46,Calcarro,Sam LaPorta,TE,DET
4,47,Ouriginal,DK Metcalf,WR,PIT
4,48,declancarroll,James Conner,RB,ARI
5,49,declancarroll,Courtland Sutton,WR,DEN
5,50,Ouriginal,Isiah Pacheco,RB,DET
5,51,Calcarro,Marvin Harrison,WR,ARI
5,52,garrettmowery,George Kittle,TE,SF
5,53,arturowong,Tetairoa McMillan,WR,CAR
5,54,ChexMixChester,Travis Kelce,TE,KC
5,55,Vishiga,Xavier Worthy,WR,KC
5,56,pattycan,T.J. Hockenson,TE,MIN
5,57,HurricaneEich,DeVonta Smith,WR,PHI
5,58,NotKool,Zay Flowers,WR,BAL
5,59,Shnickel,Jameson Williams,WR,DET
5,60,kingcarrillo,George Pickens,WR,DAL
6,61,kingcarrillo,Baker Mayfield,QB,TB
6,62,Shnickel,RJ Harvey,RB,DEN
6,63,NotKool,Tony Pollard,RB,TEN
6,64,HurricaneEich,Jerry Jeudy,WR,CLE
6,65,pattycan,Emeka Egbuka,WR,TB
6,66,Vishiga,D'Andre Swift,RB,CHI
6,67,ChexMixChester,Calvin Ridley,WR,TEN
6,68,arturowong,Aaron Jones,RB,MIN
6,69,garrettmowery,Patrick Mahomes,QB,KC
6,70,Calcarro,Jacory Croskey-Merritt,RB,WAS
6,71,Ouriginal,Jaylen Waddle,WR,DEN
6,72,declancarroll,David Montgomery,RB,HOU
7,73,declancarroll,Bo Nix,QB,DEN
7,74,Ouriginal,Kaleb Johnson,RB,PIT
7,75,Calcarro,Rome Odunze,WR,CHI
7,76,garrettmowery,Chris Olave,WR,NO
7,77,arturowong,Mark Andrews,TE,BAL
7,78,ChexMixChester,Jared Goff,QB,DET
7,79,Vishiga,Cooper Kupp,WR,SEA
7,80,pattycan,Rashee Rice,WR,KC
7,81,HurricaneEich,Deebo Samuel,WR,
7,82,NotKool,Tyler Warren,TE,IND
7,83,Shnickel,Travis Hunter,WR,JAX
7,84,kingcarrillo,Jakobi Meyers,WR,JAX
8,85,kingcarrillo,David Njoku,TE,
8,86,Shnickel,Evan Engram,TE,DEN
8,87,NotKool,Ricky Pearsall,WR,SF
8,88,HurricaneEich,Colston Loveland,TE,CHI
8,89,pattycan,Joe Mixon,RB,
8,90,Vishiga,Matthew Golden,WR,GB
8,91,ChexMixChester,Tyrone Tracy,RB,NYG
8,92,arturowong,Stefon Diggs,WR,
8,93,garrettmowery,Travis Etienne,RB,NO
8,94,Calcarro,Brian Robinson,RB,ATL
8,95,Ouriginal,Kyler Murray,QB,MIN
8,96,declancarroll,J.K. Dobbins,RB,DEN
9,97,declancarroll,Jordan Addison,WR,MIN
9,98,Ouriginal,Philadelphia Eagles,DEF,PHI
9,99,Calcarro,Justin Herbert,QB,LAC
9,100,garrettmowery,Chris Godwin,WR,TB
9,101,arturowong,Dak Prescott,QB,DAL
9,102,ChexMixChester,Khalil Shakir,WR,BUF
9,103,Vishiga,Javonte Williams,RB,DAL
9,104,pattycan,Jauan Jennings,WR,
9,105,HurricaneEich,Brandon Aubrey,K,DAL
9,106,NotKool,Zach Charbonnet,RB,SEA
9,107,Shnickel,Jaylen Warren,RB,PIT
9,108,kingcarrillo,Cam Skattebo,RB,NYG
10,109,kingcarrillo,Nick Chubb,RB,
10,110,Shnickel,Jordan Mason,RB,MIN
10,111,NotKool,Tank Bigsby,RB,PHI
10,112,HurricaneEich,Denver Broncos,DEF,DEN
10,113,pattycan,Baltimore Ravens,DEF,BAL
10,114,Vishiga,Keon Coleman,WR,BUF
10,115,ChexMixChester,Quinshon Judkins,RB,CLE
10,116,arturowong,Kyle Pitts,TE,ATL
10,117,garrettmowery,Michael Pittman,WR,PIT
10,118,Calcarro,Pittsburgh Steelers,DEF,PIT
10,119,Ouriginal,Jayden Reed,WR,GB
10,120,declancarroll,Tucker Kraft,TE,GB
11,121,declancarroll,Josh Downs,WR,IND
11,122,Ouriginal,Brock Purdy,QB,SF
11,123,Calcarro,Jake Bates,K,DET
11,124,garrettmowery,Austin Ekeler,RB,
11,125,arturowong,Ollie Gordon,RB,MIA
11,126,ChexMixChester,Rhamondre Stevenson,RB,NE
11,127,Vishiga,Jayden Higgins,WR,HOU
11,128,pattycan,Cameron Dicker,K,LAC
11,129,HurricaneEich,C.J. Stroud,QB,HOU
11,130,NotKool,Chris Boswell,K,PIT
11,131,Shnickel,Braelon Allen,RB,NYJ
11,132,kingcarrillo,Buffalo Bills,DEF,BUF
12,133,kingcarrillo,Rashid Shaheed,WR,SEA
12,134,Shnickel,Najee Harris,RB,
12,135,NotKool,Houston Texans,DEF,HOU
12,136,HurricaneEich,Jake Ferguson,TE,DAL
12,137,pattycan,Drake Maye,QB,NE
12,138,Vishiga,Minnesota Vikings,DEF,MIN
12,139,ChexMixChester,Jonnu Smith,TE,
12,140,arturowong,Keenan Allen,WR,
12,141,garrettmowery,Kendre Miller,RB,NO
12,142,Calcarro,Isaac TeSlaa,WR,DET
12,143,Ouriginal,Jake Elliott,K,PHI
12,144,declancarroll,Darnell Mooney,WR,NYG
13,145,declancarroll,Trey Benson,RB,ARI
13,146,Ouriginal,Dalton Kincaid,TE,BUF
13,147,Calcarro,Luther Burden,WR,CHI
13,148,garrettmowery,Ray Davis,RB,BUF
13,149,arturowong,Justin Fields,QB,KC
13,150,ChexMixChester,Jaydon Blue,RB,DAL
13,151,Vishiga,Zach Ertz,TE,
13,152,pattycan,Dallas Goedert,TE,PHI
13,153,HurricaneEich,Marvin Mims,WR,DEN
13,154,NotKool,Dont'e Thornton,WR,LV
13,155,Shnickel,Brandon Aiyuk,WR,SF
13,156,kingcarrillo,Chase McLaughlin,K,TB
14,157,kingcarrillo,Jerome Ford,RB,WAS
14,158,Shnickel,Rachaad White,RB,WAS
14,159,NotKool,Elic Ayomanor,WR,TEN
14,160,HurricaneEich,Detroit Lions,DEF,DET
14,161,pattycan,Adam Thielen,WR,
14,162,Vishiga,Ka'imi Fairbairn,K,HOU
14,163,ChexMixChester,Harrison Butker,K,KC
14,164,arturowong,Cam Little,K,JAX
14,165,garrettmowery,Kansas City Chiefs,DEF,KC
14,166,Calcarro,Christian Kirk,WR,SF
14,167,Ouriginal,Rashod Bateman,WR,BAL
14,168,declancarroll,Arizona Cardinals,DEF,ARI
15,169,declancarroll,Younghoe Koo,K,
15,170,Ouriginal,Tre' Harris,WR,LAC
15,171,Calcarro,Joshua Palmer,WR,BUF
15,172,garrettmowery,Evan McPherson,K,CIN
15,173,arturowong,Green Bay Packers,DEF,GB
15,174,ChexMixChester,Washington Commanders,DEF,WAS
15,175,Vishiga,Caleb Williams,QB,CHI
15,176,pattycan,Bhayshul Tuten,RB,JAX
15,177,HurricaneEich,Tyler Loop,K,BAL
15,178,NotKool,Tahj Brooks,RB,CIN
15,179,Shnickel,San Francisco 49ers,DEF,SF
15,180,kingcarrillo,Cam Ward,QB,TEN
