week,matchup_id,roster_id,display_name,points,wins,losses,fpts
1,1,7,NotKool,150.26,7,7,1589
1,1,10,arturowong,114.82,10,4,1797
1,2,9,HurricaneEich,123.38,8,6,1660
1,2,5,declancarroll,90.74,4,10,1432
1,3,2,garrettmowery,113.32,11,3,1758
1,3,8,Shnickel,93.22,5,9,1506
1,4,4,pattycan,120.56,5,9,1655
1,4,11,ChexMixChester,106,7,7,1622
1,5,1,Calcarro,117.12,7,7,1697
1,5,12,Vishiga,100.42,8,6,1552
1,6,6,kingcarrillo,104.18,9,5,1643
1,6,3,Ouriginal,102.32,3,11,1303
2,1,7,NotKool,135.52,7,7,1589
2,1,5,declancarroll,123.72,4,10,1432
2,2,9,HurricaneEich,118.84,8,6,1660
2,2,10,arturowong,116.18,10,4,1797
2,3,11,ChexMixChester,138.96,7,7,1622
2,3,2,garrettmowery,101.78,11,3,1758
2,4,4,pattycan,138.3,5,9,1655
2,4,8,Shnickel,112.7,5,9,1506
2,5,3,Ouriginal,101.6,3,11,1303
2,5,12,Vishiga,96.34,8,6,1552
2,6,6,kingcarrillo,117.5,9,5,1643
2,6,1,Calcarro,103.88,7,7,1697
3,1,9,HurricaneEich,123.44,8,6,1660
3,1,7,NotKool,84.62,7,7,1589
3,2,10,arturowong,110.74,10,4,1797
3,2,5,declancarroll,89.22,4,10,1432
3,3,2,garrettmowery,138.36,11,3,1758
3,3,4,pattycan,99.02,5,9,1655
3,4,11,ChexMixChester,109.88,7,7,1622
3,4,8,Shnickel,101.02,5,9,1506
3,5,12,Vishiga,136.42,8,6,1552
3,5,6,kingcarrillo,123.62,9,5,1643
3,6,1,Calcarro,143.1,7,7,1697
3,6,3,Ouriginal,79.06,3,11,1303
4,1,2,garrettmowery,112.4,11,3,1758
4,1,7,NotKool,104.26,7,7,1589
4,2,10,arturowong,96.3,10,4,1797
4,2,8,Shnickel,91.58,5,9,1506
4,3,12,Vishiga,117.88,8,6,1552
4,3,5,declancarroll,104.84,4,10,1432
4,4,9,HurricaneEich,131.5,8,6,1660
4,4,1,Calcarro,121.52,7,7,1697
4,5,11,ChexMixChester,142.42,7,7,1622
4,5,3,Ouriginal,109.3,3,11,1303
4,6,6,kingcarrillo,152.26,9,5,1643
4,6,4,pattycan,100.28,5,9,1655
5,1,7,NotKool,138.28,7,7,1589
5,1,8,Shnickel,121.74,5,9,1506
5,2,2,garrettmowery,133.32,11,3,1758
5,2,10,arturowong,104.72,10,4,1797
5,3,1,Calcarro,129.94,7,7,1697
5,3,5,declancarroll,126.78,4,10,1432
5,4,9,HurricaneEich,127.8,8,6,1660
5,4,12,Vishiga,127.18,8,6,1552
5,5,11,ChexMixChester,123.52,7,7,1622
5,5,6,kingcarrillo,114.46,9,5,1643
5,6,3,Ouriginal,111.7,3,11,1303
5,6,4,pattycan,102.72,5,9,1655
6,1,7,NotKool,155.74,7,7,1589
6,1,11,ChexMixChester,74.52,7,7,1622
6,2,10,arturowong,170,10,4,1797
6,2,4,pattycan,128.64,5,9,1655
6,3,5,declancarroll,88.96,4,10,1432
6,3,3,Ouriginal,80.32,3,11,1303
6,4,9,HurricaneEich,113.12,8,6,1660
6,4,6,kingcarrillo,106.7,9,5,1643
6,5,12,Vishiga,133.88,8,6,1552
6,5,2,garrettmowery,114.98,11,3,1758
6,6,8,Shnickel,122.74,5,9,1506
6,6,1,Calcarro,97.66,7,7,1697
7,1,7,NotKool,135.56,7,7,1589
7,1,4,pattycan,117.68,5,9,1655
7,2,10,arturowong,116.44,10,4,1797
7,2,11,ChexMixChester,109.14,7,7,1622
7,3,5,declancarroll,142.06,4,10,1432
7,3,6,kingcarrillo,71.52,9,5,1643
7,4,9,HurricaneEich,166.64,8,6,1660
7,4,3,Ouriginal,95.18,3,11,1303
7,5,2,garrettmowery,156.54,11,3,1758
7,5,1,Calcarro,124.9,7,7,1697
7,6,12,Vishiga,118.92,8,6,1552
7,6,8,Shnickel,118.44,5,9,1506
8,1,12,Vishiga,96.28,8,6,1552
8,1,7,NotKool,84.62,7,7,1589
8,2,10,arturowong,130.52,10,4,1797
8,2,1,Calcarro,115.78,7,7,1697
8,3,5,declancarroll,152.68,4,10,1432
8,3,11,ChexMixChester,133.16,7,7,1622
8,4,4,pattycan,164.84,5,9,1655
8,4,9,HurricaneEich,112.36,8,6,1660
8,5,2,garrettmowery,98.96,11,3,1758
8,5,3,Ouriginal,92.62,3,11,1303
8,6,6,kingcarrillo,95.98,9,5,1643
8,6,8,Shnickel,80.7,5,9,1506
9,1,1,Calcarro,116.7,7,7,1697
9,1,7,NotKool,107,7,7,1589
9,2,10,arturowong,164.42,10,4,1797
9,2,12,Vishiga,109.78,8,6,1552
9,3,4,pattycan,115.66,5,9,1655
9,3,5,declancarroll,88.22,4,10,1432
9,4,11,ChexMixChester,110.56,7,7,1622
9,4,9,HurricaneEich,109.22,8,6,1660
9,5,6,kingcarrillo,123.2,9,5,1643
9,5,2,garrettmowery,120.6,11,3,1758
9,6,8,Shnickel,131.22,5,9,1506
9,6,3,Ouriginal,78.04,3,11,1303
10,1,7,NotKool,119,7,7,1589
10,1,3,Ouriginal,97.2,3,11,1303
10,2,6,kingcarrillo,149.52,9,5,1643
10,2,10,arturowong,95.94,10,4,1797
