week,matchup_id,roster_id,display_name,player_name,position,is_starter
1,5,1,Calcarro,Sam LaPorta,TE,TRUE
1,5,1,Calcarro,Jake Bates,K,TRUE
1,5,1,Calcarro,Rome Odunze,WR,TRUE
1,5,1,Calcarro,Marvin Harrison,WR,TRUE
1,5,1,Calcarro,Terry McLaurin,WR,TRUE
1,5,1,Calcarro,Justin Herbert,QB,TRUE
1,5,1,Calcarro,Jonathan Taylor,RB,TRUE
1,5,1,Calcarro,Jahmyr Gibbs,RB,TRUE
1,5,1,Calcarro,Pittsburgh Steelers,DEF,TRUE
1,5,1,Calcarro,Luther Burden,WR,FALSE
1,5,1,Calcarro,Jacory Croskey-Merritt,RB,FALSE
1,5,1,Calcarro,Isaac TeSlaa,WR,FALSE
1,5,1,Calcarro,Christian Kirk,WR,FALSE
1,5,1,Calcarro,Joshua Palmer,WR,FALSE
1,5,1,Calcarro,Brian Robinson,RB,FALSE
1,3,2,garrettmowery,Christian McCaffrey,RB,TRUE
1,3,2,garrettmowery,Patrick Mahomes,QB,TRUE
1,3,2,garrettmowery,George Kittle,TE,TRUE
1,3,2,garrettmowery,A.J. Brown,WR,TRUE
1,3,2,garrettmowery,Evan McPherson,K,TRUE
1,3,2,garrettmowery,Chris Olave,WR,TRUE
1,3,2,garrettmowery,Garrett Wilson,WR,TRUE
1,3,2,garrettmowery,Kenneth Walker,RB,TRUE
1,3,2,garrettmowery,Kansas City Chiefs,DEF,TRUE
1,3,2,garrettmowery,Ray Davis,RB,FALSE
1,3,2,garrettmowery,Chris Godwin,WR,FALSE
1,3,2,garrettmowery,Austin Ekeler,RB,FALSE
1,3,2,garrettmowery,Michael Pittman,WR,FALSE
1,3,2,garrettmowery,Travis Etienne,RB,FALSE
1,3,2,garrettmowery,Kendre Miller,RB,FALSE
1,6,3,Ouriginal,Brock Bowers,TE,TRUE
1,6,3,Ouriginal,Ladd McConkey,WR,TRUE
1,6,3,Ouriginal,Jake Elliott,K,TRUE
1,6,3,Ouriginal,Saquon Barkley,RB,TRUE
1,6,3,Ouriginal,DK Metcalf,WR,TRUE
1,6,3,Ouriginal,Kyler Murray,QB,TRUE
1,6,3,Ouriginal,Jaylen Waddle,WR,TRUE
1,6,3,Ouriginal,Isiah Pacheco,RB,TRUE
1,6,3,Ouriginal,Philadelphia Eagles,DEF,TRUE
1,6,3,Ouriginal,Jayden Reed,WR,FALSE
1,6,3,Ouriginal,Dalton Kincaid,TE,FALSE
1,6,3,Ouriginal,Kaleb Johnson,RB,FALSE
1,6,3,Ouriginal,Tre' Harris,WR,FALSE
1,6,3,Ouriginal,Rashod Bateman,WR,FALSE
1,6,3,Ouriginal,Brock Purdy,QB,FALSE
1,4,4,pattycan,Emeka Egbuka,WR,TRUE
1,4,4,pattycan,Lamar Jackson,QB,TRUE
1,4,4,pattycan,T.J. Hockenson,TE,TRUE
1,4,4,pattycan,CeeDee Lamb,WR,TRUE
1,4,4,pattycan,Jauan Jennings,WR,TRUE
1,4,4,pattycan,Breece Hall,RB,TRUE
1,4,4,pattycan,Cameron Dicker,K,TRUE
1,4,4,pattycan,De'Von Achane,RB,TRUE
1,4,4,pattycan,Baltimore Ravens,DEF,TRUE
1,4,4,pattycan,Rashee Rice,WR,FALSE
1,4,4,pattycan,Drake Maye,QB,FALSE
1,4,4,pattycan,Bhayshul Tuten,RB,FALSE
1,4,4,pattycan,Adam Thielen,WR,FALSE
1,4,4,pattycan,Joe Mixon,RB,FALSE
1,4,4,pattycan,Dallas Goedert,TE,FALSE
